Station location,Ecozone,Site code,Type of ecosystem,Year,Sample number,Depth (cm)
Emplacement de la station,Écozone,Code de site,Type d’écosystème,Année,Numéro d’échantillon,Profondeur (cm)
Mary Lake,Forest,MLK,forest,2006,1,56
Mary Lake,Forest,MLK,forest,2006,2,38
Mary Lake,Forest,MLK,forest,2006,3,46
Mary Lake,Forest,MLK,forest,2006,4,44
Mary Lake,Forest,MLK,forest,2006,5,41
Mary Lake,Forest,MLK,forest,2006,6,34
Mary Lake,Forest,MLK,forest,2006,7,34
Mary Lake,Forest,MLK,forest,2006,8,38
Mary Lake,Forest,MLK,forest,2006,9,38
Mary Lake,Forest,MLK,forest,2006,10,33
Mary Lake,Forest,MLK,forest,2006,11,45
Mary Lake,Forest,MLK,forest,2006,12,37
Mary Lake,Forest,MLK,forest,2006,13,47
Mary Lake,Forest,MLK,forest,2006,14,42
Mary Lake,Forest,MLK,forest,2006,15,42
Mary Lake,Forest,MLK,forest,2006,16,48
Mary Lake,Forest,MLK,forest,2006,17,56
Mary Lake,Forest,MLK,forest,2006,18,50
Mary Lake,Forest,MLK,forest,2006,19,64
Mary Lake,Forest,MLK,forest,2006,20,64
Mary Lake,Forest,MLK,forest,2006,21,58
Mary Lake,Forest,MLK,forest,2006,22,55
Mary Lake,Forest,MLK,forest,2006,23,70
Mary Lake,Forest,MLK,forest,2006,24,53
Mary Lake,Forest,MLK,forest,2006,25,41
Mary Lake,Forest,MLK,forest,2006,26,46
Mary Lake,Forest,MLK,forest,2006,27,58
Mary Lake,Forest,MLK,forest,2006,28,58
Mary Lake,Forest,MLK,forest,2006,29,58
Mary Lake,Forest,MLK,forest,2006,30,46
Mary Lake,Forest,MLK,forest,2006,31,38
Mary Lake,Forest,MLK,forest,2006,32,37
Mary Lake,Forest,MLK,forest,2006,33,32
Broad,Coastal Beach Ridge,BBR,beach,2007,1,20
Broad,Coastal Beach Ridge,BBR,beach,2007,2,20
Broad,Coastal Beach Ridge,BBR,beach,2007,3,21
Broad,Coastal Beach Ridge,BBR,beach,2007,4,10
Broad,Coastal Beach Ridge,BBR,beach,2007,5,15
Broad,Coastal Beach Ridge,BBR,beach,2007,6,14
Broad,Coastal Beach Ridge,BBR,beach,2007,7,22
Broad,Coastal Beach Ridge,BBR,beach,2007,8,21
Broad,Coastal Beach Ridge,BBR,beach,2007,9,14
Broad,Coastal Beach Ridge,BBR,beach,2007,10,18
Broad,Coastal Beach Ridge,BBR,beach,2007,11,20
Broad,Coastal Beach Ridge,BBR,beach,2007,12,12
Broad,Coastal Beach Ridge,BBR,beach,2007,13,16
Broad,Coastal Beach Ridge,BBR,beach,2007,14,10
Broad,Coastal Beach Ridge,BBR,beach,2007,15,18
Broad,Coastal Beach Ridge,BBR,beach,2007,16,10
Broad,Coastal Beach Ridge,BBR,beach,2007,17,10
Broad,Coastal Beach Ridge,BBR,beach,2007,18,18
Broad,Coastal Beach Ridge,BBR,beach,2007,19,10
Broad,Coastal Beach Ridge,BBR,beach,2007,20,20
Broad,Coastal Beach Ridge,BBR,beach,2007,21,14
Broad,Coastal Beach Ridge,BBR,beach,2007,22,16
Broad,Coastal Beach Ridge,BBR,beach,2007,23,14
Broad,Coastal Beach Ridge,BBR,beach,2007,24,14
Broad,Coastal Beach Ridge,BBR,beach,2007,25,26
Broad,Coastal Beach Ridge,BBR,beach,2007,26,20
Broad,Coastal Beach Ridge,BBR,beach,2007,27,16
