date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-01-29,8.3,3.85,4.35,0.4,,,100,97.6,93.5,87,6.3,3.5,3.6,0.9,13,5.67,6.5,0,,,102.59,102.16,102.11,101.64,97.3,96.89,96.85,96.39,16100,7383.3,8250,400,2,1.3,1.5,1,13.7,0,0,0,0,0,,,,07:36:00,1706542560,7.6,16:48:00,1706575680,16.8,9.2,1,1,8,8,3,5,,4,2.5,2,0,,,,,,,,
2024-01-28,7,3.56,4.2,1.4,,,100,98.6,96.5,93,5.8,3.4,3.8,1.7,9,4.83,4.5,0,,,102.68,102.38,102.38,102.08,97.37,97.09,97.09,96.8,16100,10187.5,9050,2000,4,1.3,2.5,1,13.8,0,0,0,0,1.6,,,,07:37:00,1706456220,7.62,16:46:00,1706489160,16.77,9.15,,,7,8,5,5,,4,4,4,4,,,,,,,,
2024-01-27,3.7,1.77,2.1,0.5,,,100,98,97,94,2.6,1.5,1.5,0.4,8,3.17,4,0,,,102.44,102.31,102.3,102.16,97.12,97.01,97,96.87,16100,12100,9050,2000,2,1.6,1.6,1.2,15.9,0,0,0,0,2.4,,,,07:38:00,1706369880,7.63,16:44:00,1706402640,16.73,9.1,1,1,4,4,3,4,,4,4,4,4,,,,,,,,
2024-01-26,3.6,2.14,1.55,-0.5,,,98,84.6,87.5,77,0.6,-0.2,-0.2,-1,17,9.29,8.5,0,,,102.57,102.42,102.42,102.26,97.27,97.12,97.11,96.96,16100,15766.7,12100,8100,2.1,1.5,1.6,1.2,16.4,0,0,0,0,0.2,,,,07:39:00,1706283540,7.65,16:43:00,1706316180,16.72,9.07,,,3,4,3,3,,4,3.7,3,2,,,,,,,,
2024-01-25,3.4,2.58,1.85,0.3,,,99,89.2,90,81,1.7,1,0.8,0,15,9.17,7.5,0,,,102.34,101.95,101.88,101.42,97.05,96.67,96.61,96.17,16100,16100,16100,16100,1.2,1.2,1.1,1.1,16.1,0,0,0,0,1.1,,,,07:41:00,1706197260,7.68,16:41:00,1706229660,16.68,9,,,2,3,0,0,,4,3.8,3.5,3,,,,,,,,
2024-01-24,3.6,1.62,2.15,0.7,,,99,96.7,96,93,1.6,1.1,1.1,0.7,11,3.04,5.5,0,,,101.48,101.25,101.25,101.01,96.24,96,96.01,95.78,16100,15166.7,12100,8100,1.5,1.3,1.3,1.1,15.8,0,0,0,0,1.9,,,,07:42:00,1706110920,7.7,16:39:00,1706143140,16.65,8.95,,,3,3,-1,0,,4,3.7,2.5,1,,,,,,,,
2024-01-23,4.7,3.45,2.9,1.1,,,94,88.5,88,82,2.4,1.7,1.5,0.6,17,11.33,8.5,0,,,101.55,101.29,101.25,100.94,96.3,96.06,96.01,95.72,16100,16100,16100,16100,1.4,1.3,1.3,1.2,15.1,0,0,0,0,0.9,,,,07:43:00,1706024580,7.72,16:38:00,1706056680,16.63,8.92,1,1,4,4,0,0,,4,3.9,3,2,,,,,,,,
2024-01-22,2.3,1.07,1.29,0.3,,,99,97.7,96,93,1.5,0.8,0.9,0.3,9,4.21,4.5,0,,,100.92,100.55,100.67,100.41,95.69,95.33,95.44,95.19,11300,5766.7,7050,2800,3,2,2.1,1.2,16.7,0,0,0,0,1.1,,,,07:44:00,1705938240,7.73,16:36:00,1705970160,16.6,8.87,,,3,3,1,1,,4,3.9,3.5,3,,,,,,,,
2024-01-21,2.1,-0.26,-0.55,-3.2,,-4,98,94.2,92.5,87,1,-1.1,-1.1,-3.2,11,2.96,5.5,0,,,100.6,100.54,100.52,100.45,95.34,95.3,95.28,95.22,16100,9775,9850,3600,3.1,2.6,2.3,1.5,18.6,0,0,0,0,1.6,,,,07:45:00,1705851900,7.75,16:34:00,1705883640,16.57,8.82,,,1,1,0,0,,4,4,4,4,,,,,,,,
2024-01-20,-1.9,-3.6,-4,-6.1,,-8,98,93.1,91.5,85,-2.8,-4.6,-4.5,-6.3,8,3,4,0,,,101.82,101.15,101.22,100.63,96.46,95.84,95.91,95.36,16100,11654.2,8650,1200,3,2.5,2.6,2.2,22,0,0,0,0,1.3,,,,07:46:00,1705765560,7.77,16:33:00,1705797180,16.55,8.78,,,-2,-2,-4,-2,,4,4,3.5,3,,,,,,,,
2024-01-19,-5.4,-7.2,-8.55,-11.7,,-14,95,91.4,88.5,82,-6.2,-8.4,-9.3,-12.5,5,3.04,2.5,0,,,103.14,102.57,102.5,101.86,97.66,97.13,97.08,96.5,16100,10558.3,8650,1200,2.7,2.1,2.2,1.8,26.6,0,0,0,0,3.5,,,,07:47:00,1705679220,7.78,16:31:00,1705710660,16.52,8.73,,,-6,-6,-5,-4,,4,3.8,3,2,,,,,,,,
2024-01-18,-6.8,-11.24,-12.4,-18,,-19,91,85.1,80.5,70,-11.2,-13.3,-14.3,-17.4,5,3.62,2.5,0,,,103.58,103.32,103.16,102.73,98.04,97.79,97.64,97.24,16100,16033.3,15300,14500,3,2.2,2.3,1.6,30.4,0,0,0,0,0,,,,07:48:00,1705592880,7.8,16:30:00,1705624200,16.5,8.7,1,1,-11,-11,-10,-8,,4,1.9,2,0,,,,,,,,
