date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-01-29,14.3,12.14,11.25,8.2,,,100,95.9,93.5,87,13,11.5,10.8,8.5,20,9.42,11.5,3,,,101.67,101.37,101.33,100.98,101.62,101.32,101.28,100.93,48300,33725,32200,16100,2.1,1.5,1.6,1,6.8,0,6.2,4.2,1.2,4.6,4.6,0,,07:48:00,1706543280,7.8,17:04:00,1706576640,17.07,9.27,1,1,14,14,10,12,,,,,,8,8,8,8,,,,
2024-01-28,13.3,11.51,11.1,8.9,,,100,98.5,95.5,91,12.4,11.3,10.8,9.2,22,13.17,11.5,1,,,102.09,101.79,101.83,101.58,102.04,101.74,101.78,101.53,24100,13529.2,13450,2800,1.8,1.4,1.4,1.1,6.9,0,6.1,4.1,1.1,16.1,16.1,0,,07:49:00,1706456940,7.82,17:02:00,1706490120,17.03,9.22,1,1,12,13,12,12,,,,,,8,7.9,7,6,,,,
2024-01-27,11.8,10.09,9.8,7.8,,,100,100,99.5,99,11.9,10.1,9.9,8,24,14.25,13.5,3,35,10,101.75,101.58,101.62,101.49,101.7,101.53,101.57,101.44,16100,7733.3,9250,2400,2.1,1.7,1.8,1.4,8.2,0,4.8,2.8,0,39.7,39.7,0,,07:51:00,1706370660,7.85,17:01:00,1706403660,17.02,9.17,,,11,11,11,11,,,,,,8,8,8,8,,,,
2024-01-26,12.4,8.97,9.85,7.3,,,100,91.7,86,72,8.8,7.6,7.7,6.6,18,13.29,13,8,,,102.08,101.82,101.8,101.52,102.03,101.77,101.75,101.47,32200,19929.2,17700,3200,2.3,1.8,1.8,1.4,8.2,0,4.8,2.8,0,11.9,11.9,0,,07:52:00,1706284320,7.87,16:59:00,1706317140,16.98,9.12,,,10,10,8,9,,,,,,8,8,8,8,,,,
2024-01-25,8.2,7.52,7.6,7,,,100,96.5,93,86,7.5,7,6.7,5.9,24,19.08,19,14,33,9,102.07,101.65,101.58,101.08,102.02,101.6,101.52,101.03,24100,14220.8,14450,4800,2.5,2,2,1.5,10.4,0,2.6,0.6,0,4.9,4.9,0,,07:53:00,1706197980,7.88,16:58:00,1706230680,16.97,9.08,,,8,8,8,8,,,,,,8,8,7.5,7,,,,
2024-01-24,8.2,7.1,7.05,5.9,,,99,93.6,91,83,7.2,6.1,6.2,5.2,26,20.08,19.5,13,41,7,101.07,100.75,100.81,100.54,101.02,100.7,100.75,100.49,32200,21120.8,20950,9700,2.4,2,1.8,1.3,10.9,0,2,0,0,13.3,13.3,0,,07:54:00,1706111640,7.9,16:56:00,1706144160,16.93,9.03,,,8,8,6,7,,,,,,8,7.9,7.5,7,,,,
2024-01-23,9.7,7.78,8.19,6.7,,,100,98.6,91.5,83,9.2,7.6,7.2,5.1,22,13.67,15,8,,,101.3,101.08,101,100.7,101.25,101.03,100.95,100.65,32200,11791.7,18500,4800,2.4,1.8,1.8,1.3,9.8,0,3.2,1.2,0,13.5,13.5,0,,07:55:00,1706025300,7.92,16:54:00,1706057640,16.9,8.98,1,1,8,8,5,6,,,,,,8,7.9,7.5,7,,,,
2024-01-22,7.6,6.66,6.25,4.9,,,100,99.9,99,98,7.4,6.7,6.3,5.2,21,12.29,12,3,,,100.65,100.06,100.16,99.66,100.6,100.01,100.11,99.61,32200,14108.3,17900,3600,2.6,2,2,1.5,11.8,0,1.2,0,0,14.4,14.4,0,,07:56:00,1705938960,7.93,16:53:00,1705971180,16.88,8.95,,,7,7,4,4,,,,,,8,8,8,8,,,,
2024-01-21,7.5,4.46,4.55,1.6,,,100,99.5,97,94,6.6,4.4,4.4,2.2,21,13.29,12,3,,,99.95,99.86,99.87,99.79,99.9,99.81,99.82,99.74,32200,12991.7,17500,2800,3,1.7,2,1,13.4,0,0,0,0,12.4,12.4,0,6,07:57:00,1705852620,7.95,16:51:00,1705884660,16.85,8.9,,,7,7,6,6,,,,,,8,8,8,8,,,,
2024-01-20,4.4,2.33,2.6,0.8,,,100,100,100,100,3.5,2.3,2.2,0.9,12,7.25,7.5,3,,,100.83,100.23,100.35,99.87,100.78,100.18,100.3,99.82,16100,5295.8,8250,400,3.7,2.8,2.7,1.7,15.4,0,0,0,0,0,0,0,7,07:58:00,1705766280,7.97,16:50:00,1705798200,16.83,8.87,1,1,3,4,4,4,,,,,,8,6.8,4.5,1,,,,
