,customer_id,date,value,age,sex
2172,734,2023-01-01,108.96809845821306,42,F
3430,309,2023-01-01,102.7795568636093,28,M
3332,911,2023-01-01,191.30029053425287,37,M
42,633,2023-01-01,106.29675787666213,22,M
1275,1187,2023-01-01,104.9043168477248,28,M
3579,907,2023-01-01,103.32194339601755,30,F
2551,1212,2023-01-01,91.48609888483259,27,F
1691,780,2023-01-01,67.27572156324683,28,F
2535,1433,2023-01-01,137.0004963733656,38,F
3783,1145,2023-01-02,97.78551734921297,23,M
3960,868,2023-01-02,124.17315302836047,23,M
294,954,2023-01-02,111.27480393620706,26,M
2843,264,2023-01-02,69.96735227446278,26,M
115,1034,2023-01-02,88.0347748060106,22,M
1669,734,2023-01-02,102.12109862673137,42,F
862,77,2023-01-02,124.91969824528638,33,F
1422,497,2023-01-02,90.40063160371437,23,M
36,316,2023-01-02,177.65004769248588,24,F
3915,139,2023-01-02,282.2802495241517,26,M
1660,684,2023-01-02,117.85619747159336,46,M
1328,426,2023-01-02,110.93576269376624,30,F
1766,305,2023-01-02,137.19567648517972,22,F
4258,679,2023-01-02,46.69929876772105,22,M
1276,500,2023-01-02,107.83068952168318,32,M
644,263,2023-01-02,185.88923290058514,22,F
1564,214,2023-01-02,193.75201311231353,24,F
2972,432,2023-01-03,117.41278881982552,19,M
891,1234,2023-01-03,101.68943182497479,22,F
370,1449,2023-01-03,161.9498603838239,26,F
3257,1295,2023-01-03,51.76246440067489,30,F
3835,1101,2023-01-03,165.85845276613657,30,F
67,1046,2023-01-03,97.10723640783584,32,F
305,967,2023-01-03,73.16340305931304,32,F
4203,1391,2023-01-03,110.94417582425285,32,M
1108,1274,2023-01-03,124.35654946052627,38,M
178,1485,2023-01-03,154.69317202901442,26,M
1610,847,2023-01-03,120.10308491447127,31,F
2915,759,2023-01-03,96.9450759250963,21,M
3096,1430,2023-01-03,74.83016834632554,39,M
755,710,2023-01-03,136.02922153071933,26,M
1730,1494,2023-01-03,95.09595805075652,35,M
1707,504,2023-01-03,86.05135469888916,34,M
2118,320,2023-01-04,85.38548797812271,23,F
3638,1214,2023-01-04,101.23645097501708,33,M
4239,713,2023-01-04,96.63465854166006,22,F
3545,968,2023-01-04,110.3921832423154,26,M
1056,940,2023-01-04,86.73354686936091,32,M
1043,981,2023-01-04,95.73597794827576,27,F
2584,697,2023-01-04,119.65224118747449,22,M
84,243,2023-01-04,103.20134473067088,23,M
2070,115,2023-01-04,75.54410484096897,35,F
2637,691,2023-01-04,107.27531539786114,26,F
2573,1230,2023-01-04,96.09137765208901,36,F
2352,877,2023-01-04,141.15066506276418,21,F
2917,576,2023-01-04,101.84387568956055,21,M
3752,701,2023-01-04,186.71652004255623,25,F
1799,347,2023-01-04,69.08938062561805,28,M
3048,1332,2023-01-05,231.20218531979583,28,M
4915,521,2023-01-05,108.73325344164886,25,F
2932,798,2023-01-05,96.24349806651048,40,F
195,642,2023-01-05,111.944881167714,24,F
3185,746,2023-01-05,177.89807988263146,51,F
4041,500,2023-01-05,160.2438029526055,32,M
3870,813,2023-01-05,97.35025397046967,29,M
1069,964,2023-01-05,177.76383280961596,24,F
2700,515,2023-01-05,82.04511948509533,19,M
2711,363,2023-01-05,129.57079409619652,29,F
443,1431,2023-01-05,80.63960534795478,27,F
1686,356,2023-01-05,87.2850924189663,25,F
4692,1062,2023-01-05,79.92205586500755,27,M
4685,471,2023-01-05,121.71258323736207,28,M
4094,878,2023-01-05,91.62095481412608,28,M
871,1439,2023-01-05,87.94821494813388,28,M
236,740,2023-01-05,78.46094150277587,29,F
4022,567,2023-01-06,173.10840877973055,22,M
4297,903,2023-01-06,79.16485820614463,26,F
2048,1007,2023-01-06,64.7234733072151,27,F
2144,121,2023-01-06,132.1823793472455,27,M
1193,617,2023-01-06,132.20405377779696,28,M
677,867,2023-01-06,114.74011323438128,30,M
1915,1375,2023-01-06,129.83228068323928,32,M
1163,383,2023-01-06,76.12017846378158,27,F
3169,1336,2023-01-06,122.23652141997113,36,F
3279,584,2023-01-06,113.6226006477987,29,F
3381,521,2023-01-06,101.97231654683527,25,F
2607,1483,2023-01-06,93.6085429200931,20,F
4461,1491,2023-01-06,189.85650521825332,25,M
1461,651,2023-01-07,119.56781239174958,30,M
2556,8,2023-01-07,109.18635789163454,22,F
4277,1192,2023-01-07,99.82018080763473,31,F
138,1039,2023-01-07,99.40801429867291,28,M
4020,657,2023-01-07,102.93212802603819,33,F
93,1393,2023-01-07,93.58152573974749,27,M
1875,704,2023-01-07,94.50174577572065,31,M
897,658,2023-01-07,125.87626857579983,29,M
684,933,2023-01-07,109.91018962265355,27,F
1037,1091,2023-01-07,110.56607833902555,29,F
3789,26,2023-01-07,131.76739164079066,29,F
3054,1360,2023-01-07,109.73710030942559,22,M
4956,526,2023-01-08,116.3078479471682,34,F
3792,118,2023-01-08,88.93691087475017,31,F
4805,1374,2023-01-08,96.71361063035539,32,F
786,958,2023-01-08,179.1799651568947,37,M
3736,277,2023-01-08,120.18475750971751,22,F
4612,355,2023-01-08,104.63333514781303,26,M
3394,1354,2023-01-08,83.58871444963883,22,M
1537,611,2023-01-08,152.1217695031517,25,M
1252,584,2023-01-08,115.60176559172926,29,F
3715,259,2023-01-08,72.8851445650469,30,F
1294,12,2023-01-08,143.58627680152102,28,M
2314,908,2023-01-08,98.64613627943586,47,M
1301,243,2023-01-08,73.98095393898816,23,M
4490,1147,2023-01-08,80.25067036707321,33,F
2969,117,2023-01-08,192.47510182306706,25,F
317,171,2023-01-08,88.21590986036128,35,M
4471,107,2023-01-08,183.1434325171747,25,F
4127,392,2023-01-09,116.7076913449102,29,F
4349,437,2023-01-09,75.90204674928626,24,M
793,437,2023-01-09,121.22000579770696,24,M
4739,1124,2023-01-09,134.83011529842219,27,M
864,151,2023-01-09,118.72995311178789,27,M
4183,1219,2023-01-09,83.0519240135634,24,F
2399,1446,2023-01-09,76.34760451917353,32,F
4391,31,2023-01-09,188.41924161713683,27,M
1023,1158,2023-01-09,77.62888481693659,29,M
4337,1414,2023-01-09,69.64346338462371,22,M
1174,1048,2023-01-09,102.52250605341935,25,F
1517,622,2023-01-09,83.00969706823798,20,F
3109,488,2023-01-09,121.30596884520838,32,F
4503,657,2023-01-09,194.95106740496274,33,F
900,1405,2023-01-09,122.22291315181687,20,M
4780,1020,2023-01-10,128.80200936720942,31,F
3620,513,2023-01-10,70.97224919331859,21,F
706,57,2023-01-10,123.96422947808054,27,M
4900,1094,2023-01-10,106.95383771924145,23,F
3631,127,2023-01-10,79.95516705724923,26,M
2083,2,2023-01-10,77.3552000193853,54,M
3974,1308,2023-01-10,95.51731546560615,19,M
2741,683,2023-01-10,160.50419681155913,26,F
4681,1042,2023-01-10,121.48754975975967,35,M
2398,77,2023-01-10,135.43211310289604,33,F
2849,1086,2023-01-10,140.6427435742444,24,F
1573,298,2023-01-10,117.9387326574337,29,M
2869,1146,2023-01-10,110.2508943825168,23,M
1214,33,2023-01-10,162.32148268809982,18,M
2102,1430,2023-01-10,100.08896753208896,39,M
